Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
Norway,"1,475,588",,"4,571",,,"3,287","267,735",829,"1,996,315",Europe,"1,206",1,,596
Finland,"1,438,205",,"7,933",,"+1,819","13,765","258,905","1,428","2,147,795",Europe,700,0,,"2,478"
Kazakhstan,"1,403,328",,"13,695",,,"6,613","73,071",713,"602,707",Asia,"1,402",2,,344
Slovenia,"1,308,470",,"7,013",,,"19,459","629,667","3,375","1,351,210",Europe,296,1,,"9,364"
Bulgaria,"1,292,525",,"38,113",,,"3,836","188,839","5,568","1,593,210",Europe,180,1,,560
Lithuania,"1,289,255",,"9,488",,,"7,231","484,371","3,565","3,876,510",Europe,281,0,,"2,717"
Morocco,"1,271,671",,"16,295",,,359,"33,666",431,"340,545",Africa,"2,318",3,,10
Croatia,"1,264,385",,"17,638",,,"2,152","311,480","4,345","1,337,809",Europe,230,1,,530
Lebanon,"1,222,945",,"10,747",,,"124,611","182,943","1,608","717,380",Asia,622,1,,"18,641"
Guatemala,"1,204,860",,"20,004",,,"20,394","64,833","1,076","352,804",North America,929,3,,"1,097"
Costa Rica,"1,166,842",,"9,085",,,"297,046","225,157","1,753","899,158",North America,570,1,,"57,319"
Bolivia,"1,163,836",,"22,305",,,"30,838","97,046","1,860","225,590",South America,538,4,,"2,571"
Tunisia,"1,147,571",,"29,284",,N/A,N/A,"95,261","2,431","413,721",Africa,411,2,,688
Cuba,"1,112,048",,"8,530",,,148,"98,362",754,"1,262,732",North America,"1,325",1,,13
UAE,"1,047,157",,"2,348",,,"14,792","103,866",233,"19,639,290",Asia,"4,294",0,,"1,467"
Ecuador,"1,040,463",,"35,940",,"+1,111","8,885","57,442","1,984","170,173",South America,504,6,,491
Panama,"1,025,844",,"8,575",,,"2,999","230,684","1,928","1,665,132",North America,519,1,,674
Uruguay,"1,020,161",,"7,570",,,"8,285","291,807","2,165","1,749,083",South America,462,1,,"2,370"
Mongolia,"1,007,422",,"2,179",,,190,"298,223",645,"1,193,000",Asia,"1,550",1,,56
Nepal,"1,001,005",,"12,019",,,20,"33,118",398,"198,214",Asia,"2,515",5,,0.7
Belarus,"994,037",,"7,118",,,"1,327","105,381",755,"1,446,722",Europe,"1,325",1,,141
Latvia,"974,046",,"6,165",,,"17,562","526,843","3,335","4,202,095",Europe,300,0,,"9,499"
Saudi Arabia,"827,100",,"9,524",,,"2,873","23,074",266,"1,254,044",Asia,"3,764",1,,80
Azerbaijan,"826,462",,"10,008",,,400,"80,237",972,"721,704",Asia,"1,029",1,,39
Paraguay,"792,215",,"19,688",,N/A,N/A,"108,436","2,695","363,751",South America,371,3,,"10,158"
Bahrain,"698,889",,"1,539",,,476,"391,758",863,"5,963,300",Asia,"1,159",0,,267
Sri Lanka,"671,903",,"16,817",,,26,"31,141",779,"300,619",Asia,"1,283",3,,1
Kuwait,"662,747",,"2,570",,,82,"151,301",587,"1,928,464",Asia,"1,704",1,,19
Dominican Republic,"650,990",,"4,384",,,"1,821","58,879",397,"338,350",North America,"2,522",3,,165
Myanmar,"633,694",,"19,490",,,"5,879","11,474",353,"177,991",Asia,"2,834",6,,106
Cyprus,"631,111",,"1,258",,,"9,010","515,872","1,028","7,879,860",Asia,972,0,,"7,365"
Palestine,"620,816",,"5,404",,,450,"116,137","1,011","575,907",Asia,989,2,,84
Estonia,"612,432",,"2,872",,,"84,570","463,293","2,173","2,752,421",Europe,460,0,,"63,976"
Moldova,"596,550",,"11,933",,,"80,475","148,648","2,973","801,437",Europe,336,1,,"20,053"
Venezuela,"550,624",,"5,832",,,"1,291","18,814",199,"114,771",South America,"5,018",9,,44
Egypt,"515,645",,"24,613",,,"48,850","4,857",232,"34,792",Africa,"4,313",29,,460
Libya,"507,153",,"6,437",,,41,"72,031",914,"352,725",Africa,"1,094",3,,6
Ethiopia,"498,341",,"7,572",,,"9,697","4,125",63,"44,889",Africa,"15,955",22,,80
Qatar,"489,994",,685,,,740,"164,432",230,"1,364,257",Asia,"4,350",1,,248
Réunion,"480,501",,907,,,"61,022","529,151",999,"1,766,027",Africa,"1,001",1,,"67,200"
Honduras,"465,915",,"11,071",,N/A,N/A,"45,583","1,083","155,600",North America,923,6,,"31,532"
Armenia,"445,976",,"8,716",,,"2,098","150,061","2,933","1,091,164",Asia,341,1,,706
Bosnia and Herzegovina,"401,036",,"16,229",,,"6,004","123,422","4,995","579,315",Europe,200,2,,"1,848"
Oman,"399,154",,"4,260",,,"10,225","74,973",800,"4,695,724",Asia,"1,250",0,,"1,921"
North Macedonia,"345,603",,"9,614",,,240,"166,051","4,619","1,060,113",Europe,216,1,,115
Kenya,"342,512",,"5,688",,,42,"6,093",101,"70,421",Africa,"9,883",14,,0.7
Zambia,"334,695",,"4,024",,,592,"17,190",207,"194,566",Africa,"4,839",5,,30
Albania,"333,812",,"3,595",,,"1,599","116,458","1,254","677,173",Europe,797,1,,558
Botswana,"328,071",,"2,794",,,"1,530","134,391","1,145","830,300",Africa,874,1,,627
Luxembourg,"297,757",,"1,133",,,"7,633","463,528","1,764","6,869,188",Europe,567,0,,"11,883"
Montenegro,"284,835",,"2,791",,,302,"453,595","4,445","4,267,497",Europe,225,0,,481
Algeria,"271,230",,"6,881",,,"81,696","5,981",152,"5,091",Africa,"6,591",196,,"1,801"
Brunei,"266,819",,225,,,"22,993","599,013",505,"1,611,437",Asia,"1,980",1,,"51,620"
Nigeria,"266,450",,"3,155",,,"3,451","1,229",15,"26,339",Africa,"68,700",38,,16
Zimbabwe,"259,981",,"5,637",,,667,"16,957",368,"164,744",Africa,"2,720",6,,44
Uzbekistan,"249,766",,"1,637",,,"6,643","7,264",48,"40,077",Asia,"21,003",25,,193
Mozambique,"230,970",,"2,230",,,77,"6,980",67,"41,437",Africa,"14,838",24,,2
Martinique,"225,249",,"1,079",,N/A,N/A,"602,130","2,884","2,215,870",North America,347,0,,"598,968"
Laos,"217,825",+20,758,,N/A,N/A,"29,117",101,"164,845",Asia,"9,869",6,,"27,992"
Iceland,"208,298",,229,,N/A,N/A,"603,075",663,"5,780,036",Europe,"1,508",0,,"383,285"
Afghanistan,"207,654",,"7,850",,,"14,288","5,095",193,"28,925",Asia,"5,192",35,,351
Kyrgyzstan,"206,567",,"2,991",,,"7,170","30,701",445,"283,460",Asia,"2,250",4,,"1,066"
El Salvador,"201,785",,"4,230",,,"18,145","30,805",646,"398,467",North America,"1,549",3,,"2,770"
Guadeloupe,"199,988",,999,,N/A,N/A,"500,228","2,499","2,346,306",North America,400,0,,"492,101"
Trinidad and Tobago,"186,279",,"4,289",,,159,"132,434","3,049","625,437",North America,328,2,,113
Maldives,"185,693",,311,,,"21,695","343,250",575,"4,092,223",Asia,"1,740",0,,"40,103"
Ghana,"171,065",,"1,461",,,18,"5,281",45,"77,945",Africa,"22,173",13,,0.6
Namibia,"170,295",,"4,082",,,252,"64,656","1,550","403,460",Africa,645,2,,96
Uganda,"169,985",,"3,630",,,"65,924","3,510",75,"62,198",Africa,"13,342",16,,"1,361"
Jamaica,"152,791",,"3,464",,,"47,331","51,185","1,160","396,633",North America,862,3,,"15,856"
Cambodia,"138,600",,"3,056",,,53,"8,073",178,"180,062",Asia,"5,618",6,,3
Rwanda,"133,033",,"1,468",,,453,"9,782",108,"432,520",Africa,"9,265",2,,33
Cameroon,"123,993",,"1,965",,,"3,412","4,442",70,"62,762",Africa,"14,204",16,,122
Malta,"116,489",,817,,,731,"262,343","1,840","4,730,504",Europe,543,0,,"1,646"
Barbados,"105,515",,568,,,34,"366,342","1,972","2,730,775",North America,507,0,,118
Angola,"105,095",,"1,930",,,115,"3,000",55,"42,818",Africa,"18,149",23,,3
Channel Islands,"100,036",,215,,,"1,101","566,895","1,218","7,099,551",Europe,821,0,,"6,239"
French Guiana,"97,879",,415,,,"86,210","311,549","1,321","2,072,951",South America,757,0,,"274,406"
DRC,"95,173",,"1,462",,,"9,552",999,15,"8,890",Africa,"65,144",112,,100
Senegal,"88,900",,"1,968",,,17,"5,036",111,"64,946",Africa,"8,970",15,,1.0
Malawi,"88,220",,"2,685",,,470,"4,371",133,"30,959",Africa,"7,516",32,,23
Ivory Coast,"87,945",,831,,,11,"3,170",30,"59,993",Africa,"33,384",17,,0.4
Suriname,"82,020",,"1,398",,N/A,N/A,"137,426","2,342","401,459",South America,427,2,,"51,802"
New Caledonia,"79,441",,314,,,671,"273,073","1,079","340,182",Australia/Oceania,926,3,,"2,307"
French Polynesia,"77,957",,649,,N/A,N/A,"274,338","2,284",,Australia/Oceania,438,,,"154,164"
Eswatini,"74,034",,"1,422",,,22,"62,486","1,200","884,593",Africa,833,1,,19
Guyana,"72,261",,"1,289",,,323,"91,004","1,623","895,762",South America,616,1,,407
Belize,"70,174",,688,,,150,"170,247","1,669","1,397,453",North America,599,1,,364
Fiji,"68,750",,881,,,"1,174","75,594",969,"732,478",Australia/Oceania,"1,032",1,,"1,291"
Madagascar,"67,750",,"1,418",,,67,"2,322",49,"17,902",Africa,"20,577",56,,2
Sudan,"63,686",,"4,994",,,458,"1,385",109,"12,240",Africa,"9,209",82,,10
Mauritania,"63,425",,997,,,5,"12,939",203,"206,030",Africa,"4,917",5,,1
Cabo Verde,"63,203",,412,,,58,"111,336",726,"707,482",Africa,"1,378",1,,102
Bhutan,"62,531",,21,,,946,"79,360",27,"2,923,739",Asia,"37,521",0,,"1,201"
Burundi,"51,722",,38,,,327,"4,097",3,"27,386",Africa,"332,233",37,,26
Seychelles,"50,355",,172,,,157,"506,457","1,730",,Africa,578,,,"1,579"
Gabon,"48,980",,306,,,6,"21,008",131,"695,641",Africa,"7,619",1,,3
Andorra,"47,751",,165,,,86,"616,436","2,130","3,225,256",Europe,469,0,,"1,110"
Papua New Guinea,"46,663",,669,,,"2,012","5,022",72,"26,813",Australia/Oceania,"13,890",37,,217
Curaçao,"45,986",,295,,,971,"277,812","1,782","3,000,640",North America,561,0,,"5,866"
Aruba,"43,752",,236,,,"1,078","406,583","2,193","1,653,068",North America,456,1,,"10,018"
Tanzania,"42,351",,845,,N/A,N/A,669,13,,Africa,"74,910",,,653
Mayotte,"41,993",,188,,N/A,N/A,"146,696",657,"618,038",Africa,"1,523",2,,"135,685"
Mauritius,"41,485",,"1,041",,,692,"32,544",817,"281,374",Africa,"1,225",4,,543
Togo,"39,344",,290,,,6,"4,532",33,"92,686",Africa,"29,934",11,,0.7
Guinea,"38,210",,466,,,452,"2,756",34,"47,607",Africa,"29,755",21,,33
Isle of Man,"38,008",,116,,N/A,N/A,"443,335","1,353","1,758,422",Europe,739,1,,"129,450"
Bahamas,"37,491",,833,,,292,"93,607","2,080","643,767",North America,481,2,,729
Lesotho,"34,790",,723,,,"8,087","15,990",332,"198,199",Africa,"3,009",5,,"3,717"
Faeroe Islands,"34,658",,28,,N/A,N/A,"703,959",569,"15,802,409",Europe,"1,758",0,,"547,133"
Haiti,"33,904",,860,,,90,"2,903",74,"11,337",North America,"13,582",88,,8
Mali,"32,771",,743,,,78,"1,526",35,"36,516",Africa,"28,901",27,,4
Cayman Islands,"31,472",,37,,,"22,882","467,797",550,"3,311,280",North America,"1,818",0,,"340,116"
Saint Lucia,"29,748",,409,,,244,"160,702","2,209","1,139,752",North America,453,1,,"1,318"
Benin,"27,982",,163,,,2,"2,189",13,"47,268",Africa,"78,434",21,,0.2
Somalia,"27,310",,"1,361",,,"12,767","1,622",81,"23,778",Africa,"12,375",42,,758
Congo,"25,375",,386,,,983,"4,377",67,"59,991",Africa,"15,020",17,,170
Solomon Islands,"24,575",,153,,N/A,N/A,"34,077",212,,Australia/Oceania,"4,713",,,"11,183"
Timor-Leste,"23,397",,138,,,157,"17,085",101,"203,391",Asia,"9,923",5,,115
San Marino,"23,176",,121,,,195,"679,947","3,550","4,624,732",Europe,282,0,,"5,721"
Micronesia,"22,203",,55,,N/A,N/A,"188,979",468,"186,596",Australia/Oceania,"2,136",5,,"187,030"
Burkina Faso,"22,006",,395,,,15,996,18,"11,265",Africa,"55,957",89,,0.7
Liechtenstein,"21,276",,88,,,32,"554,250","2,292","2,929,559",Europe,436,0,,834
Gibraltar,"20,275",,110,,,"3,586","601,561","3,264","15,852,213",Europe,306,0,,"106,397"
Grenada,"19,660",,238,,,64,"173,254","2,097","1,612,523",North America,477,1,,564
Bermuda,"18,622",,153,,,46,"300,651","2,470","16,501,510",North America,405,0,,743
Nicaragua,"18,491",,225,,,"14,041","2,728",33,,North America,"30,129",,,"2,071"
South Sudan,"18,368",,138,,,115,"1,581",12,"35,313",Africa,"84,192",28,,10
Tajikistan,"17,786",,125,,,397,"1,786",13,,Asia,"79,660",,,40
Equatorial Guinea,"17,186",,183,,,123,"11,483",122,"244,342",Africa,"8,178",4,,82
Tonga,"16,412",,12,,,762,"152,317",111,"4,965,327",Australia/Oceania,"8,979",0,,"7,072"
Samoa,"15,982",,29,,,"14,348","79,025",143,"926,612",Australia/Oceania,"6,974",1,,"70,946"
Monaco,"15,968",,63,,,37,"401,377","1,584","1,976,875",Europe,631,1,,930
Dominica,"15,760",,74,,,13,"217,848","1,023","3,170,187",North America,978,0,,180
Djibouti,"15,690",,189,,,74,"15,441",186,"301,094",Africa,"5,376",3,,73
Marshall Islands,"15,554",,17,,,9,"258,987",283,,Australia/Oceania,"3,533",,,150
CAR,"15,351",,113,,,623,"3,060",23,"16,205",Africa,"44,395",62,,124
Gambia,"12,586",,372,,,25,"4,919",145,"60,851",Africa,"6,878",16,,10
Saint Martin,"12,180",,63,,,"10,718","306,569","1,586","2,828,643",North America,631,0,,"269,771"
Vanuatu,"12,013",,14,,,23,"37,327",44,"77,606",Australia/Oceania,"22,988",13,,71
Greenland,"11,971",,21,,,"9,189","210,117",369,"2,894,810",North America,"2,713",0,,"161,287"
Yemen,"11,945",,"2,159",,,662,383,69,"10,579",Asia,"14,430",95,,21
Caribbean Netherlands,"11,625",,38,,,"1,111","436,259","1,426","1,130,559",North America,701,1,,"41,693"
Sint Maarten,"10,998",,89,,,4,"250,148","2,024","1,411,454",North America,494,1,,91
Niger,"9,931",,312,,,729,381,12,"9,759",Africa,"83,601",102,,28
St. Vincent Grenadines,"9,538",,119,,,24,"85,503","1,067","1,012,900",North America,937,1,,215
Antigua and Barbuda,"9,106",,146,,,6,"91,509","1,467","189,943",North America,682,5,,60
Guinea-Bissau,"8,947",,176,,,115,"4,336",85,"70,385",Africa,"11,724",14,,56
Liberia,"8,043",,294,,,8,"1,516",55,"26,356",Africa,"18,045",38,,2
Sierra Leone,"7,760",,126,,N/A,N/A,934,15,"31,296",Africa,"65,924",32,,330
Chad,"7,651",,194,,,"2,583",439,11,"10,988",Africa,"89,761",91,,148
British Virgin Islands,"7,305",,64,,N/A,N/A,"238,757","2,092","3,508,269",North America,478,0,,392
Cook Islands,"6,671",,1,,,286,"379,660",57,"1,120,596",Australia/Oceania,"17,571",1,,"16,277"
Turks and Caicos,"6,479",,36,,,20,"163,031",906,"15,387,811",North America,"1,104",0,,503
Palau,"5,971",,9,,,4,"327,483",494,"3,757,637",Australia/Oceania,"2,026",0,,219
St. Barth,"5,402",,6,,N/A,N/A,"543,188",603,"7,908,095",North America,"1,658",0,,"496,129"
Nauru,"4,621",,1,,,11,"423,828",92,"1,881,042",Australia/Oceania,"10,903",1,,"1,009"
Anguilla,"3,904",,12,,,13,"256,336",788,"3,373,736",North America,"1,269",0,,854
Kiribati,"3,430",,13,,,714,"27,792",105,,Australia/Oceania,"9,494",,,"5,785"
Wallis and Futuna,"3,427",,7,,,"2,982","312,056",637,"1,867,419",Australia/Oceania,"1,569",1,,"271,535"
Saint Pierre Miquelon,"3,349",,2,,,898,"581,525",347,"4,410,488",North America,"2,880",0,,"155,930"
Tuvalu,"2,805",,,,,"2,805","232,471",,,Australia/Oceania,,,,"232,471"
Macao,"2,803",,56,,,775,"4,199",84,"11,760",Asia,"11,919",85,,"1,161"
Saint Helena,"1,806",,,,,"1,804","295,339",,,Africa,,,,"295,012"
Montserrat,"1,403",,8,,,19,"282,578","1,611","3,577,442",North America,621,0,,"3,827"
Niue,575,,,,,183,"354,501",,,Australia/Oceania,,,,"112,824"
Tokelau,5,,,,,5,"3,628",,,Australia/Oceania,,,,"3,628"
China,"452,517","+7,689","5,258",+5,"+3,495","78,813",312,4,"110,461",Asia,"275,480",9,,54
